precision,recall,threshold
0.8994592767826969,0.9999060768291538,5.013394144270933e-09
0.8994719425473492,0.9999060768291538,5.016608017882618e-09
0.8994846086687132,0.9999060768291538,5.082950504942119e-09
0.8994972751468041,0.9999060768291538,5.10305842027492e-09
0.8995099419816369,0.9999060768291538,5.1090771613360175e-09
0.8995226091732267,0.9999060768291538,5.189939145111566e-09
0.8995352767215885,0.9999060768291538,5.215372578248889e-09
0.8995479446267375,0.9999060768291538,5.217133391965945e-09
0.8995606128886886,0.9999060768291538,5.220010201867353e-09
0.899573281507457,0.9999060768291538,5.252369206232288e-09
0.8995859504830578,0.9999060768291538,5.322874585544923e-09
0.8995986198155059,0.9999060768291538,5.36997690758767e-09
0.8996112895048166,0.9999060768291538,5.3975890423885176e-09
0.8996239595510049,0.9999060768291538,5.433576699687137e-09
0.8996366299540858,0.9999060768291538,5.4523359160896234e-09
0.8996493007140745,0.9999060768291538,5.525546686868665e-09
0.899661971830986,0.9999060768291538,5.582720508101602e-09
0.8996746433048353,0.9999060768291538,5.594339658188119e-09
0.8996732302318375,0.9998904229673461,5.604206876341777e-09
0.8996859022212206,0.9998904229673461,5.635667488235185e-09
0.8996985745675813,0.9998904229673461,5.6697162520435995e-09
0.8997112472709345,0.9998904229673461,5.719495099754113e-09
0.8997239203312956,0.9998904229673461,5.778884482054991e-09
0.8997365937486794,0.9998904229673461,5.851132023337868e-09
0.8997492675231012,0.9998904229673461,5.859038587630039e-09
0.8997619416545759,0.9998904229673461,5.9959912590557e-09
0.8997746161431187,0.9998904229673461,6.065282054379395e-09
0.8997872909887448,0.9998904229673461,6.085061787786117e-09
0.899799966191469,0.9998904229673461,6.089461823677311e-09
0.8998126417513066,0.9998904229673461,6.0894849163162235e-09
0.8998253176682726,0.9998904229673461,6.093993754063831e-09
0.8998379939423822,0.9998904229673461,6.237520722152112e-09
0.8998506705736504,0.9998904229673461,6.280234110533911e-09
0.8998633475620923,0.9998904229673461,6.293292997838762e-09
0.8998619368290552,0.9998747691055383,6.3205756184459005e-09
0.8998746143334132,0.9998747691055383,6.3566032437734066e-09
0.8998872921949845,0.9998747691055383,6.389886841873249e-09
0.8998999704137843,0.9998747691055383,6.396446483591944e-09
0.8999126489898278,0.9998747691055383,6.426909671120029e-09
0.8999253279231301,0.9998747691055383,6.533425356280986e-09
0.8999380072137061,0.9998747691055383,6.571293731383321e-09
0.899950686861571,0.9998747691055383,6.740278557515467e-09
0.8999492772001014,0.9998591152437306,6.8520527030102585e-09
0.899961957364068,0.9998591152437306,6.89671164622041e-09
0.8999746378853632,0.9998591152437306,6.915455763589762e-09
0.8999873187640022,0.9998591152437306,7.011990099670129e-09
0.9,0.9998591152437306,7.054231865311067e-09
0.9000126815933718,0.9998591152437306,7.114659528184575e-09
